"word";"frequency"
url;1055
#hash;41
https;41
emoji;32
hard;23
rt;21
replies;20
hashtags;20
attack;20
http;14
mention;10
https:/;8
https:;8
htt;6
me;6
you;5
giveaway;4
snail;3
arcos?;3
this;3
day;2
encounters;2
d;2
modz;2
yes;2
enemy;2
dre;2
dirty;2
trending*;2
picture;2
marion;2
grammy;2
notifications;2
cube;2
instagram;1
understand;1
eminem;1
d-2;1
combination;1
