"word";"frequency"
<s>;1542
</s>;1542
url;1330
mention;1133
rt;893
#hash;448
the;353
emoji;282
to;260
of;138
for;135
in;131
and;128
you;128
this;118
is;116
me;105
my;80
on;76
with;74
happy;61
it;54
so;49
at;49
your;48
that;47
be;47
he;45
are;44
when;44
our;44
best;44
fifth;43
new;42
harmony;42
all;42
https;41
but;41
was;39
